employee_id,travel_type,origin,destination,distance,cost,currency,travel_date,hotel_nights
EMP001,flight,DEL,BLR,,12000,INR,2025-03-15,
EMP002,flight,BOM,BLR,1100,18000,INR,2025-03-16,
EMP003,hotel,,,45,50000,INR,2025-03-14,3
EMP004,flight,DEL,HYD,1730,15000,INR,2025-03-20,
,flight,BLR,DEL,,9500,INR,2025-03-18,
EMP006,cab,BLR,HYD,580,2500,INR,2025-03-17,
EMP007,flight,DEL,BOM,1450,22000,INR,2025-03-19,
EMP008,hotel,,,12,35000,INR,2025-03-15,2
EMP009,flight,DEL,LON,,45000,USD,2025-04-01,
EMP010,ground,DEL,BLR,2200,-5000,INR,2025-03-22,
